"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
14213,"$1 under $25,000","4,720"
14213,"$25,000 under $50,000","3,280"
14213,"$50,000 under $75,000","1,040"
14213,"$75,000 under $100,000",440
14213,"$100,000 under $200,000",400
14213,"$200,000 or more",80
14214,Total,"8,090"
14214,"$1 under $25,000","3,200"
14214,"$25,000 under $50,000","2,170"
14214,"$50,000 under $75,000",990
14214,"$75,000 under $100,000",560
14214,"$100,000 under $200,000",830
14214,"$200,000 or more",340
14215,Total,"17,640"
14215,"$1 under $25,000","8,760"
14215,"$25,000 under $50,000","5,590"
14215,"$50,000 under $75,000","1,870"
14215,"$75,000 under $100,000",740
14215,"$100,000 under $200,000",630
14215,"$200,000 or more",50
14216,Total,"11,500"
14216,"$1 under $25,000","3,380"
14216,"$25,000 under $50,000","3,160"
14216,"$50,000 under $75,000","1,990"
14216,"$75,000 under $100,000","1,110"
14216,"$100,000 under $200,000","1,410"
14216,"$200,000 or more",450
14217,Total,"11,850"
14217,"$1 under $25,000","3,430"
14217,"$25,000 under $50,000","3,350"
14217,"$50,000 under $75,000","2,040"
14217,"$75,000 under $100,000","1,290"
14217,"$100,000 under $200,000","1,520"
14217,"$200,000 or more",220
14218,Total,"9,150"
14218,"$1 under $25,000","3,750"
14218,"$25,000 under $50,000","2,710"
14218,"$50,000 under $75,000","1,360"
14218,"$75,000 under $100,000",730
14218,"$100,000 under $200,000",550
14218,"$200,000 or more",50
14219,Total,"6,130"
14219,"$1 under $25,000","1,920"
14219,"$25,000 under $50,000","1,780"
14219,"$50,000 under $75,000","1,060"
14219,"$75,000 under $100,000",640
14219,"$100,000 under $200,000",680
14219,"$200,000 or more",50
14220,Total,"12,010"
14220,"$1 under $25,000","3,910"
14220,"$25,000 under $50,000","3,710"
14220,"$50,000 under $75,000","1,940"
14220,"$75,000 under $100,000","1,110"
14220,"$100,000 under $200,000","1,240"
14220,"$200,000 or more",100
14221,Total,"27,960"
14221,"$1 under $25,000","7,040"
14221,"$25,000 under $50,000","4,790"
14221,"$50,000 under $75,000","3,660"
14221,"$75,000 under $100,000","3,280"
14221,"$100,000 under $200,000","6,450"
14221,"$200,000 or more","2,740"
14222,Total,"6,100"
14222,"$1 under $25,000","1,600"
14222,"$25,000 under $50,000","1,690"
14222,"$50,000 under $75,000",990
14222,"$75,000 under $100,000",480
14222,"$100,000 under $200,000",800
14222,"$200,000 or more",540
14223,Total,"12,480"
14223,"$1 under $25,000","3,420"
14223,"$25,000 under $50,000","3,140"
14223,"$50,000 under $75,000","2,220"
14223,"$75,000 under $100,000","1,560"
14223,"$100,000 under $200,000","1,910"
14223,"$200,000 or more",230
14224,Total,"22,050"
14224,"$1 under $25,000","6,100"
14224,"$25,000 under $50,000","5,440"
14224,"$50,000 under $75,000","3,580"
14224,"$75,000 under $100,000","2,670"
14224,"$100,000 under $200,000","3,770"
14224,"$200,000 or more",490
14225,Total,"18,090"
14225,"$1 under $25,000","5,660"
14225,"$25,000 under $50,000","5,820"
14225,"$50,000 under $75,000","3,190"
14225,"$75,000 under $100,000","1,780"
14225,"$100,000 under $200,000","1,540"
14225,"$200,000 or more",100
14226,Total,"14,920"
14226,"$1 under $25,000","4,410"
14226,"$25,000 under $50,000","3,170"
14226,"$50,000 under $75,000","2,200"
14226,"$75,000 under $100,000","1,560"
14226,"$100,000 under $200,000","2,580"
14226,"$200,000 or more","1,000"
14227,Total,"12,050"
14227,"$1 under $25,000","3,560"
14227,"$25,000 under $50,000","3,430"
14227,"$50,000 under $75,000","2,100"
14227,"$75,000 under $100,000","1,420"
14227,"$100,000 under $200,000","1,420"
14227,"$200,000 or more",120
14228,Total,"9,980"
14228,"$1 under $25,000","3,240"
14228,"$25,000 under $50,000","2,330"
14228,"$50,000 under $75,000","1,370"
14228,"$75,000 under $100,000","1,000"
14228,"$100,000 under $200,000","1,590"
14228,"$200,000 or more",450
14301,Total,"5,160"
14301,"$1 under $25,000","2,790"
14301,"$25,000 under $50,000","1,530"
14301,"$50,000 under $75,000",470
14301,"$75,000 under $100,000",210
14301,"$100,000 under $200,000",160
14301,"$200,000 or more",**
14303,Total,"2,470"
14303,"$1 under $25,000","1,290"
14303,"$25,000 under $50,000",790
14303,"$50,000 under $75,000",220
14303,"$75,000 under $100,000",100
14303,"$100,000 under $200,000",70
14303,"$200,000 or more",**
14304,Total,"15,340"
14304,"$1 under $25,000","5,250"
14304,"$25,000 under $50,000","4,310"
14304,"$50,000 under $75,000","2,370"
14304,"$75,000 under $100,000","1,510"
14304,"$100,000 under $200,000","1,690"
14304,"$200,000 or more",210
14305,Total,"7,390"
14305,"$1 under $25,000","3,290"
14305,"$25,000 under $50,000","2,090"
14305,"$50,000 under $75,000",900
14305,"$75,000 under $100,000",510
14305,"$100,000 under $200,000",530
14305,"$200,000 or more",70
14411,Total,"5,430"
14411,"$1 under $25,000","1,930"
14411,"$25,000 under $50,000","1,570"
14411,"$50,000 under $75,000",860
14411,"$75,000 under $100,000",510
14411,"$100,000 under $200,000",490
14411,"$200,000 or more",70
14414,Total,"3,450"
14414,"$1 under $25,000","1,000"
14414,"$25,000 under $50,000",890
14414,"$50,000 under $75,000",510
14414,"$75,000 under $100,000",350
14414,"$100,000 under $200,000",610
14414,"$200,000 or more",90
14416,Total,"1,870"
14416,"$1 under $25,000",500
14416,"$25,000 under $50,000",470
14416,"$50,000 under $75,000",340
14416,"$75,000 under $100,000",230
14416,"$100,000 under $200,000",300
14416,"$200,000 or more",30
14418,Total,530
14418,"$1 under $25,000",150
14418,"$25,000 under $50,000",160
14418,"$50,000 under $75,000",80
14418,"$75,000 under $100,000",60
14418,"$100,000 under $200,000",80
14418,"$200,000 or more",**
14420,Total,"8,240"
14420,"$1 under $25,000","2,630"
14420,"$25,000 under $50,000","2,090"
14420,"$50,000 under $75,000","1,190"
14420,"$75,000 under $100,000",880
14420,"$100,000 under $200,000","1,270"
14420,"$200,000 or more",180
14422,Total,"1,060"
14422,"$1 under $25,000",300
14422,"$25,000 under $50,000",260
14422,"$50,000 under $75,000",190
14422,"$75,000 under $100,000",120
14422,"$100,000 under $200,000",170
14422,"$200,000 or more",20
14423,Total,"2,340"
14423,"$1 under $25,000",660
14423,"$25,000 under $50,000",610
14423,"$50,000 under $75,000",390
14423,"$75,000 under $100,000",270
14423,"$100,000 under $200,000",370
14423,"$200,000 or more",40
14424,Total,"14,410"
14424,"$1 under $25,000","4,380"
14424,"$25,000 under $50,000","3,390"
14424,"$50,000 under $75,000","2,080"
14424,"$75,000 under $100,000","1,420"
14424,"$100,000 under $200,000","2,420"
14424,"$200,000 or more",720
14425,Total,"6,570"
14425,"$1 under $25,000","1,880"
14425,"$25,000 under $50,000","1,580"
14425,"$50,000 under $75,000","1,030"
14425,"$75,000 under $100,000",750
14425,"$100,000 under $200,000","1,160"
14425,"$200,000 or more",170
14427,Total,900
14427,"$1 under $25,000",250
14427,"$25,000 under $50,000",260
14427,"$50,000 under $75,000",160
14427,"$75,000 under $100,000",110
14427,"$100,000 under $200,000",120
14427,"$200,000 or more",**
14428,Total,"4,540"
14428,"$1 under $25,000","1,210"
14428,"$25,000 under $50,000","1,020"
14428,"$50,000 under $75,000",720
14428,"$75,000 under $100,000",560
14428,"$100,000 under $200,000",910
14428,"$200,000 or more",120
14432,Total,"2,600"
14432,"$1 under $25,000",750
14432,"$25,000 under $50,000",750
14432,"$50,000 under $75,000",430
14432,"$75,000 under $100,000",280
14432,"$100,000 under $200,000",340
14432,"$200,000 or more",50
14433,Total,"2,010"
14433,"$1 under $25,000",630
14433,"$25,000 under $50,000",640
14433,"$50,000 under $75,000",370
14433,"$75,000 under $100,000",160
14433,"$100,000 under $200,000",190
14433,"$200,000 or more",20
14435,Total,"1,420"
14435,"$1 under $25,000",370
14435,"$25,000 under $50,000",320
14435,"$50,000 under $75,000",250
14435,"$75,000 under $100,000",170
14435,"$100,000 under $200,000",250
14435,"$200,000 or more",60
14437,Total,"4,400"
14437,"$1 under $25,000","1,450"
14437,"$25,000 under $50,000","1,200"
14437,"$50,000 under $75,000",780
14437,"$75,000 under $100,000",420
14437,"$100,000 under $200,000",490
14437,"$200,000 or more",60
14441,Total,160
14441,"$1 under $25,000",60
14441,"$25,000 under $50,000",50
14441,"$50,000 under $75,000",30
14441,"$75,000 under $100,000",**
14441,"$100,000 under $200,000",20
14441,"$200,000 or more",**
14445,Total,"4,010"
14445,"$1 under $25,000","1,230"
14445,"$25,000 under $50,000","1,310"
14445,"$50,000 under $75,000",710
14445,"$75,000 under $100,000",390
14445,"$100,000 under $200,000",320
14445,"$200,000 or more",50
14450,Total,"22,110"
14450,"$1 under $25,000","5,500"
14450,"$25,000 under $50,000","3,950"
14450,"$50,000 under $75,000","2,970"
14450,"$75,000 under $100,000","2,440"
14450,"$100,000 under $200,000","5,370"
14450,"$200,000 or more","1,880"
14454,Total,"3,160"
14454,"$1 under $25,000",920
14454,"$25,000 under $50,000",620
14454,"$50,000 under $75,000",500
14454,"$75,000 under $100,000",340
14454,"$100,000 under $200,000",620
14454,"$200,000 or more",160
14456,Total,"8,850"
14456,"$1 under $25,000","3,150"
14456,"$25,000 under $50,000","2,470"
14456,"$50,000 under $75,000","1,280"
14456,"$75,000 under $100,000",750
14456,"$100,000 under $200,000",990
14456,"$200,000 or more",210
14462,Total,290
14462,"$1 under $25,000",90
14462,"$25,000 under $50,000",70
14462,"$50,000 under $75,000",40
14462,"$75,000 under $100,000",30
14462,"$100,000 under $200,000",60
14462,"$200,000 or more",**
14464,Total,"3,460"
14464,"$1 under $25,000","1,090"
14464,"$25,000 under $50,000",940
14464,"$50,000 under $75,000",590
14464,"$75,000 under $100,000",360
14464,"$100,000 under $200,000",430
14464,"$200,000 or more",50
14466,Total,840
14466,"$1 under $25,000",230
14466,"$25,000 under $50,000",210
14466,"$50,000 under $75,000",150
14466,"$75,000 under $100,000",110
14466,"$100,000 under $200,000",120
14466,"$200,000 or more",20
14467,Total,"4,950"
14467,"$1 under $25,000","1,470"
14467,"$25,000 under $50,000","1,270"
14467,"$50,000 under $75,000",810
14467,"$75,000 under $100,000",550
14467,"$100,000 under $200,000",730
14467,"$200,000 or more",120
14468,Total,"9,690"
14468,"$1 under $25,000","2,540"
14468,"$25,000 under $50,000","2,170"
14468,"$50,000 under $75,000","1,490"
14468,"$75,000 under $100,000","1,240"
14468,"$100,000 under $200,000","1,900"
14468,"$200,000 or more",350
14469,Total,"2,930"
14469,"$1 under $25,000",850
14469,"$25,000 under $50,000",710
14469,"$50,000 under $75,000",500
14469,"$75,000 under $100,000",280
14469,"$100,000 under $200,000",500
14469,"$200,000 or more",90
14470,Total,"3,720"
14470,"$1 under $25,000","1,090"
14470,"$25,000 under $50,000","1,120"
14470,"$50,000 under $75,000",610
14470,"$75,000 under $100,000",440
14470,"$100,000 under $200,000",420
14470,"$200,000 or more",40
14471,Total,"1,380"
14471,"$1 under $25,000",410
14471,"$25,000 under $50,000",350
14471,"$50,000 under $75,000",240
14471,"$75,000 under $100,000",140
14471,"$100,000 under $200,000",190
14471,"$200,000 or more",50
14472,Total,"4,430"
14472,"$1 under $25,000","1,160"
14472,"$25,000 under $50,000",730
14472,"$50,000 under $75,000",540
14472,"$75,000 under $100,000",410
14472,"$100,000 under $200,000","1,010"
14472,"$200,000 or more",580
14475,Total,200
14475,"$1 under $25,000",70
14475,"$25,000 under $50,000",40
14475,"$50,000 under $75,000",30
14475,"$75,000 under $100,000",**
14475,"$100,000 under $200,000",60
14475,"$200,000 or more",**
14476,Total,"1,080"
14476,"$1 under $25,000",330
14476,"$25,000 under $50,000",300
14476,"$50,000 under $75,000",170
14476,"$75,000 under $100,000",110
14476,"$100,000 under $200,000",170
14476,"$200,000 or more",**
14477,Total,760
14477,"$1 under $25,000",220
14477,"$25,000 under $50,000",210
14477,"$50,000 under $75,000",130
14477,"$75,000 under $100,000",80
14477,"$100,000 under $200,000",120
14477,"$200,000 or more",**
14478,Total,430
14478,"$1 under $25,000",100
14478,"$25,000 under $50,000",80
14478,"$50,000 under $75,000",80
14478,"$75,000 under $100,000",50
14478,"$100,000 under $200,000",90
14478,"$200,000 or more",30
14480,Total,440
14480,"$1 under $25,000",150
14480,"$25,000 under $50,000",130
14480,"$50,000 under $75,000",60
14480,"$75,000 under $100,000",40
14480,"$100,000 under $200,000",60
14480,"$200,000 or more",**
14481,Total,860
14481,"$1 under $25,000",250
14481,"$25,000 under $50,000",210
14481,"$50,000 under $75,000",170
14481,"$75,000 under $100,000",110
14481,"$100,000 under $200,000",120
14481,"$200,000 or more",**
14482,Total,"4,130"
14482,"$1 under $25,000","1,250"
14482,"$25,000 under $50,000","1,090"
14482,"$50,000 under $75,000",660
14482,"$75,000 under $100,000",450
14482,"$100,000 under $200,000",570
14482,"$200,000 or more",110
14485,Total,"2,020"
14485,"$1 under $25,000",610
14485,"$25,000 under $50,000",470
14485,"$50,000 under $75,000",320
14485,"$75,000 under $100,000",220
14485,"$100,000 under $200,000",350
14485,"$200,000 or more",50
14486,Total,150
14486,"$1 under $25,000",40
14486,"$25,000 under $50,000",40
14486,"$50,000 under $75,000",40
14486,"$75,000 under $100,000",**
14486,"$100,000 under $200,000",30
14486,"$200,000 or more",**
14487,Total,"3,010"
14487,"$1 under $25,000",840
14487,"$25,000 under $50,000",690
14487,"$50,000 under $75,000",470
14487,"$75,000 under $100,000",360
14487,"$100,000 under $200,000",520
14487,"$200,000 or more",130
14489,Total,"3,230"
14489,"$1 under $25,000","1,100"
14489,"$25,000 under $50,000",980
14489,"$50,000 under $75,000",500
14489,"$75,000 under $100,000",320
14489,"$100,000 under $200,000",300
14489,"$200,000 or more",30
14502,Total,"5,290"
14502,"$1 under $25,000","1,500"
14502,"$25,000 under $50,000","1,180"
14502,"$50,000 under $75,000",810
14502,"$75,000 under $100,000",600
14502,"$100,000 under $200,000","1,020"
14502,"$200,000 or more",180
14504,Total,910
14504,"$1 under $25,000",320
14504,"$25,000 under $50,000",290
14504,"$50,000 under $75,000",150
14504,"$75,000 under $100,000",70
14504,"$100,000 under $200,000",80
14504,"$200,000 or more",**
14505,Total,"2,520"
14505,"$1 under $25,000",770
14505,"$25,000 under $50,000",620
14505,"$50,000 under $75,000",420
14505,"$75,000 under $100,000",320
14505,"$100,000 under $200,000",360
14505,"$200,000 or more",30
14506,Total,640
14506,"$1 under $25,000",160
14506,"$25,000 under $50,000",70
14506,"$50,000 under $75,000",70
14506,"$75,000 under $100,000",60
14506,"$100,000 under $200,000",180
14506,"$200,000 or more",100
14507,Total,640
14507,"$1 under $25,000",210
14507,"$25,000 under $50,000",180
14507,"$50,000 under $75,000",100
14507,"$75,000 under $100,000",70
14507,"$100,000 under $200,000",80
14507,"$200,000 or more",**
14510,Total,"2,210"
14510,"$1 under $25,000",830
14510,"$25,000 under $50,000",620
14510,"$50,000 under $75,000",340
14510,"$75,000 under $100,000",200
14510,"$100,000 under $200,000",220
14510,"$200,000 or more",**
14512,Total,"2,220"
14512,"$1 under $25,000",720
14512,"$25,000 under $50,000",580
14512,"$50,000 under $75,000",330
14512,"$75,000 under $100,000",220
14512,"$100,000 under $200,000",310
14512,"$200,000 or more",60
14513,Total,"6,570"
14513,"$1 under $25,000","2,300"
14513,"$25,000 under $50,000","2,010"
14513,"$50,000 under $75,000","1,060"
14513,"$75,000 under $100,000",560
14513,"$100,000 under $200,000",580
14513,"$200,000 or more",60
14514,Total,"3,220"
14514,"$1 under $25,000",880
14514,"$25,000 under $50,000",770
14514,"$50,000 under $75,000",530
14514,"$75,000 under $100,000",360
14514,"$100,000 under $200,000",590
14514,"$200,000 or more",90
14516,Total,"1,040"
14516,"$1 under $25,000",280
14516,"$25,000 under $50,000",310
14516,"$50,000 under $75,000",190
14516,"$75,000 under $100,000",110
14516,"$100,000 under $200,000",130
14516,"$200,000 or more",20
14517,Total,"1,270"
14517,"$1 under $25,000",400
14517,"$25,000 under $50,000",360
14517,"$50,000 under $75,000",210
14517,"$75,000 under $100,000",140
14517,"$100,000 under $200,000",160
14517,"$200,000 or more",**
14519,Total,"6,290"
14519,"$1 under $25,000","1,600"
14519,"$25,000 under $50,000","1,500"
14519,"$50,000 under $75,000",940
14519,"$75,000 under $100,000",720
14519,"$100,000 under $200,000","1,290"
14519,"$200,000 or more",240
14521,Total,"1,260"
14521,"$1 under $25,000",420
14521,"$25,000 under $50,000",380
14521,"$50,000 under $75,000",190
14521,"$75,000 under $100,000",110
14521,"$100,000 under $200,000",130
14521,"$200,000 or more",30
14522,Total,"4,500"
14522,"$1 under $25,000","1,410"
14522,"$25,000 under $50,000","1,280"
14522,"$50,000 under $75,000",730
14522,"$75,000 under $100,000",460
14522,"$100,000 under $200,000",530
14522,"$200,000 or more",90
14525,Total,"1,310"
14525,"$1 under $25,000",370
14525,"$25,000 under $50,000",340
14525,"$50,000 under $75,000",230
14525,"$75,000 under $100,000",180
14525,"$100,000 under $200,000",190
14525,"$200,000 or more",**
14526,Total,"10,790"
14526,"$1 under $25,000","2,640"
14526,"$25,000 under $50,000","1,910"
14526,"$50,000 under $75,000","1,470"
14526,"$75,000 under $100,000","1,200"
14526,"$100,000 under $200,000","2,600"
14526,"$200,000 or more",970
14527,Total,"5,780"
14527,"$1 under $25,000","1,980"
14527,"$25,000 under $50,000","1,520"
14527,"$50,000 under $75,000",900
14527,"$75,000 under $100,000",550
14527,"$100,000 under $200,000",660
14527,"$200,000 or more",170
14530,Total,"2,480"
14530,"$1 under $25,000",800
14530,"$25,000 under $50,000",700
14530,"$50,000 under $75,000",420
14530,"$75,000 under $100,000",260
14530,"$100,000 under $200,000",270
14530,"$200,000 or more",30
14532,Total,"2,210"
14532,"$1 under $25,000",630
14532,"$25,000 under $50,000",630
14532,"$50,000 under $75,000",400
14532,"$75,000 under $100,000",240
